Question Text (English),Option A,Option B,Option C,Option D,,Explanation (English),DOPD Operation Weight (%),DOPD Discipline Weight (%),DOPD Professionalism Weight (%),Malay Question Text,Malay Option A,Malay Option B,Malay Option C,Malay Option D,Malay Explanation,Batch
"In a public area, a bystander becomes upset about where your vehicle is stopped.","Respond calmly, acknowledge the concern, and explain briefly",Explain in detail why the stop is necessary and allowed,Avoid engagement and continue the task to prevent escalation,Justify your position firmly so the complaint does not continue,A,Calm acknowledgement helps ease public tension and prevents situations from escalating.,,,1,"Di kawasan awam, seorang individu berasa tidak puas hati tentang lokasi kenderaan anda berhenti.","Beri respons tenang, ambil maklum dan jelaskan secara ringkas",Terangkan dengan terperinci mengapa berhenti di situ perlu dan dibenarkan,Elakkan berinteraksi dan teruskan tugas,Pertahankan posisi anda dengan tegas supaya aduan tidak berlanjutan,Respons yang tenang dan jelas membantu redakan ketegangan dan elakkan keadaan menjadi lebih serius.,2
A customer calls you during the trip and urges you to arrive faster due to a delay.,Maintain a safe speed and explain your expected arrival time,Increase speed slightly to show effort and responsiveness,Reassure the customer and focus on reaching sooner,Shorten the conversation and continue driving as planned,A,Maintaining safe speed while giving a clear update supports both safety and customer trust.,0.25,0.25,0.5,Seorang pelanggan menelefon semasa perjalanan dan mendesak anda tiba lebih cepat kerana berlaku kelewatan.,Kekalkan kelajuan selamat dan maklumkan anggaran masa ketibaan,Tambah sedikit kelajuan untuk tunjuk usaha dan responsif,Yakinkan pelanggan dan cuba sampai lebih awal,Pendekkan perbualan dan teruskan perjalanan seperti biasa,Kekalkan kelajuan selamat sambil beri maklumat jelas bagi menjaga keselamatan dan kepercayaan pelanggan.,2
Traffic ahead slows sharply. You increase following distance while vehicles behind close in without warning.,Ease off early and activate brake lights to signal slowing,Maintain speed to avoid confusing drivers behind,Close the gap to match traffic flow,Brake later so others are forced to react,A,Creating space early and signalling clearly helps others adjust safely to changing traffic conditions.,0.25,0.5,0.25,Trafik di hadapan menjadi perlahan secara mendadak. Anda menambah jarak hadapan sementara kenderaan di belakang semakin menghampiri tanpa amaran.,Lepaskan pedal awal dan hidupkan lampu brek untuk memberi isyarat memperlahankan kenderaan,Kekalkan kelajuan supaya tidak mengelirukan pemandu di belakang,Rapatkan jarak untuk mengikut aliran trafik,Tekan brek secara mengejut supaya pemandu lain terpaksa bertindak balas,Mewujudkan ruang lebih awal dan memberi isyarat dengan jelas membantu pemandu lain menyesuaikan diri dengan selamat.,2
"At a junction, you prepare to turn while another vehicle approaches from the side and appears unsure of your intention.",Signal early and complete the turn when it is safe,Roll forward slightly to indicate you intend to go,Wait longer to see how the other driver reacts,Turn once there is space to avoid delaying traffic behind,A,Clear signalling at junctions helps other drivers understand your intention and reduces uncertainty.,0.25,0.5,0.25,"Di simpang jalan, anda bersedia untuk membelok apabila sebuah kenderaan dari sisi kelihatan tidak pasti tentang niat anda.",Beri isyarat awal dan belok apabila selamat,Gerak sedikit ke hadapan untuk menunjukkan niat,Tunggu lebih lama untuk melihat reaksi pemandu lain,Belok apabila ada ruang untuk mengelakkan kelewatan di belakang,Isyarat yang jelas di simpang membantu pemandu lain memahami niat anda dan mengurangkan ketidakpastian.,2
"While driving, you notice the sun shade and stickers on the windscreen reduce your side visibility.",Continue driving carefully despite reduced visibility.,Stop at a safe location and remove or adjust the obstruction.,Reduce speed and rely more on mirrors.,Adjust your lane position to compensate for the blind area.,B,Ensure full visibility before continuing to drive safely.,,1,,"Semasa memandu, anda mendapati pelindung matahari dan pelekat pada cermin hadapan mengurangkan penglihatan sisi.",Terus memandu dengan berhati-hati walaupun penglihatan berkurang.,Berhenti di lokasi selamat dan tanggalkan/laraskan halangan tersebut.,Kurangkan kelajuan dan lebih bergantung pada cermin sisi.,Laraskan kedudukan lorong untuk mengimbangi kawasan yang terhalang.,Pastikan penglihatan jelas sepenuhnya sebelum meneruskan pemanduan.,2
"You arrive at a customer site to uncouple the trailer on uneven, soft ground.",Lower the landing legs carefully and check stability after uncoupling.,Place strong wooden planks under the landing legs before uncoupling.,Adjust the trailer position slightly to find firmer ground before uncoupling.,Ask site staff to observe the trailer during the process.,B,Ensure stable ground support before uncoupling to prevent trailer instability.,0,0,1,Anda tiba di tapak pelanggan untuk membuka sambungan treler di atas permukaan tanah yang tidak rata dan lembut.,Turunkan kaki sokongan dengan berhati-hati dan periksa kestabilan selepas membuka sambungan.,Letakkan papan kayu yang kukuh di bawah kaki sokongan sebelum membuka sambungan.,Laraskan sedikit kedudukan treler untuk mencari tanah yang lebih kukuh sebelum membuka sambungan.,Minta kakitangan tapak memerhati treler semasa proses tersebut.,Pastikan sokongan tanah stabil sebelum membuka sambungan bagi mengelakkan treler menjadi tidak stabil.,2
You are preparing to start your trip and will return later the same day.,Conduct inspection only before starting the trip.,Conduct inspection only after completing the trip.,Conduct inspections both before and after the trip.,Conduct inspection only if a defect is suspected.,C,Perform required inspections before and after every trip.,0.5,0,0.5,Anda sedang bersedia untuk memulakan perjalanan dan akan kembali pada hari yang sama.,Lakukan pemeriksaan sebelum memulakan perjalanan sahaja.,Lakukan pemeriksaan selepas menamatkan perjalanan sahaja.,Lakukan pemeriksaan sebelum dan selepas perjalanan.,Lakukan pemeriksaan hanya jika terdapat tanda kerosakan.,Lakukan pemeriksaan yang ditetapkan sebelum dan selepas setiap perjalanan.,2
The reflective string delineators are damaged and no longer reflective.,Continue if cones are available.,Replace them with compliant reflective delineators.,Use hazard lights instead.,Keep them until the next inspection cycle.,B,Maintain compliant reflective equipment for roadside safety.,0,1,0,Tali delineator reflektif rosak dan tidak lagi memantulkan cahaya.,Teruskan perjalanan jika kon keselamatan tersedia.,Gantikan dengan delineator reflektif yang mematuhi spesifikasi.,Gunakan lampu kecemasan sebagai ganti.,Kekalkan penggunaannya sehingga pemeriksaan seterusnya.,Pastikan peralatan reflektif yang mematuhi spesifikasi sentiasa tersedia untuk keselamatan di tepi jalan.,2
"During inspection, you review emergency and fire equipment in the vehicle.",Check only for long-distance trips.,Ensure emergency and fire equipment is complete and valid.,Assume it is sufficient if previously used.,Check after starting the trip.,B,Ensure emergency and fire equipment is complete and valid before driving.,0.5,0,0.5,"Semasa pemeriksaan, anda menyemak peralatan kecemasan dan pemadam api di dalam kenderaan.",Periksa hanya untuk perjalanan jarak jauh.,Pastikan peralatan kecemasan dan pemadam api lengkap dan masih sah untuk digunakan.,Anggap mencukupi jika pernah digunakan sebelum ini.,Periksa selepas memulakan perjalanan.,Pastikan peralatan kecemasan dan pemadam api lengkap dan masih sah untuk digunakan sebelum memandu.,2
You are dressing for your driving shift.,Wear long trousers as required.,Wear shorts if the weather is hot.,Wear track pants for comfort.,Wear any trousers only when visiting customer sites.,A,Wear long trousers as part of required duty attire.,0.5,0,0.5,Anda sedang berpakaian untuk syif pemanduan.,Pakai seluar panjang seperti yang ditetapkan.,Pakai seluar pendek jika cuaca panas.,Pakai seluar trek untuk keselesaan.,Pakai apa-apa seluar hanya apabila melawat tapak pelanggan.,Pakai seluar panjang seperti yang ditetapkan semasa bertugas.,2
"As a driver, you must remain aware of the expiry and renewal dates of vehicle and operating documents.",Monitor the dates and arrange renewal before expiry.,Wait for reminders from the office.,Check the dates only during inspections.,Rely on company personnel to identify expiry.,A,Be aware of expiry dates and renew documents before they lapse.,0,1,0,"Sebagai seorang pemandu, anda perlu peka terhadap tarikh tamat tempoh dan pembaharuan dokumen kenderaan serta operasi.",Pantau tarikh tersebut dan uruskan pembaharuan sebelum tamat tempoh.,Tunggu peringatan daripada pejabat.,Semak tarikh hanya semasa pemeriksaan.,Bergantung kepada pegawai syarikat untuk mengenal pasti tarikh tamat tempoh.,Sentiasa peka terhadap tarikh tamat tempoh dan perbaharui dokumen sebelum tempoh sahnya berakhir.,2
"While hauling an import container from the port, you notice a dent and scratches on the container wall.",Record the damage in the gate pass before exiting the port.,Inform operations after delivery.,Record it only in the internal company form.,Proceed since the seal is intact.,A,Record visible container damage in the gate pass before leaving the port.,0.5,0,0.5,"Semasa membawa kontena import dari pelabuhan, anda mendapati terdapat kesan kemek dan calar pada dinding kontena.",Rekodkan kerosakan pada gate pass sebelum keluar dari pelabuhan.,Maklumkan bahagian operasi selepas penghantaran.,Rekodkan hanya dalam borang dalaman syarikat.,Teruskan perjalanan kerana seal masih dalam keadaan baik.,Rekodkan sebarang kerosakan kontena yang kelihatan pada gate pass sebelum meninggalkan pelabuhan.,2
"Before exiting the port, you compare the container number in the EIR/gate pass with the customs form and delivery note.",Proceed if the container type looks correct.,Ensure all documents show the same container number.,Check the number only at delivery point.,Rely on port staff verification.,B,Confirm container numbers match across all documents before exit.,0.5,0,0.5,"Sebelum keluar dari pelabuhan, anda membandingkan nombor kontena dalam EIR atau gate pass dengan borang kastam dan nota penghantaran.",Teruskan perjalanan jika jenis kontena kelihatan betul.,Pastikan semua dokumen menunjukkan nombor kontena yang sama.,Semak nombor hanya di lokasi penghantaran.,Bergantung kepada pengesahan kakitangan pelabuhan.,Pastikan nombor kontena sepadan dalam semua dokumen sebelum keluar dari pelabuhan.,2
"Before pulling a loaded export container, you inspect the seal.",Ensure the container is sealed before departure.,Proceed if the container door is locked.,Seal it later at the port.,Rely on warehouse staff confirmation.,A,Ensure export containers are properly sealed before movement.,0.5,0,0.5,"Sebelum menarik kontena eksport yang telah dimuatkan, anda memeriksa seal.",Pastikan kontena telah dipasang seal sebelum bertolak.,Teruskan perjalanan jika pintu kontena telah dikunci.,Pasang seal kemudian apabila tiba di pelabuhan.,Bergantung kepada pengesahan kakitangan gudang.,Pastikan kontena eksport dipasang seal dengan betul sebelum pergerakan.,2
You are involved in a road collision.,Record the third party's vehicle type and registration number.,Record only the third party's phone number.,Take photos of the damage without recording vehicle details.,Ask someone help to record the information for you.,A,Record vehicle type and registration details.,0.5,0,0.5,Anda terlibat dalam pelanggaran jalan raya.,Catat jenis kenderaan dan nombor pendaftaran pihak ketiga.,Catat nombor telefon pihak ketiga sahaja.,Ambil gambar kerosakan tanpa merekod butiran kenderaan.,Minta pertolongan orang lain mencatat maklumat bagi pihak anda.,Catat jenis kenderaan dan nombor pendaftaran dengan tepat.,2
A small fire starts near the engine compartment while parked.,Use the ABC fire extinguisher if safe.,Wait for others to assist before acting.,Pour available water to reduce flames.,Observe briefly before deciding.,A,Use the appropriate extinguisher if the fire is manageable.,0.5,0,0.5,"Semasa parkir, kebakaran kecil bermula berhampiran ruang enjin.",Gunakan alat pemadam api jenis ABC jika keadaan selamat.,Tunggu bantuan sebelum mengambil tindakan.,Tuang air yang ada untuk mengurangkan api.,Perhatikan keadaan seketika sebelum membuat keputusan.,Gunakan alat pemadam api yang sesuai jika kebakaran masih boleh dikawal dan keadaan selamat.,2
You position your vehicle in a loading area where forklifts and pedestrians are moving.,Move forward quickly before equipment approaches,Position only when the area is clear of movement,Continue moving slowly and watch for operator signals,Stop close to the loading area to reduce walking,B,Keep clear of active loading zones to reduce collision and injury risk.,0.75,0.25,,Anda meletakkan kenderaan di kawasan pemunggahan di mana forklift dan pejalan kaki sedang bergerak.,Bergerak cepat ke hadapan sebelum peralatan menghampiri,Letakkan kenderaan hanya apabila kawasan itu tiada pergerakan,Terus bergerak perlahan sambil perhatikan isyarat pengendali,Berhenti dekat kawasan pemunggahan untuk kurangkan berjalan,Kekalkan jarak dari kawasan pemunggahan aktif untuk mengurangkan risiko pelanggaran dan kecederaan.,3
You approach a busy junction. Traffic slows unevenly and vehicles from the side edge forward.,Hold your lane and approach at reduced speed,Shift slightly within your lane to improve visibility,Edge closer to discourage other vehicles,Maintain speed and react only if a vehicle enters,A,Clear lane position and early speed control reduce conflict at junctions.,0.75,0.25,,Anda menghampiri persimpangan sibuk. Trafik perlahan secara tidak sekata dan kenderaan dari sisi bergerak ke hadapan.,Kekalkan lorong dan hampiri pada kelajuan rendah,Bergerak sedikit dalam lorong untuk tingkatkan pandangan,Bergerak lebih dekat untuk menghalang kenderaan lain,Kekalkan kelajuan dan bertindak hanya jika kenderaan masuk,Kedudukan lorong yang jelas dan kawalan kelajuan awal mengurangkan konflik di persimpangan.,3
You approach a checkpoint inside a facility. Vehicles queue unevenly and lanes split toward inspection points.,Remain in your lane and wait for checkpoint direction,Shift early to a less congested lane,Move forward and adjust position near the checkpoint,Follow the vehicle ahead if its lane clears faster,A,Remain orderly and wait for checkpoint direction in controlled zones.,0.75,0.25,,Anda menghampiri pusat pemeriksaan di dalam fasiliti. Kenderaan beratur tidak sekata dan lorong berpecah ke beberapa laluan pemeriksaan.,Kekalkan lorong dan tunggu arahan pusat pemeriksaan,Tukar awal ke lorong yang kurang sesak,Bergerak ke hadapan dan sesuaikan kedudukan berhampiran pusat pemeriksaan,Ikut kenderaan di hadapan jika lorongnya bergerak lebih cepat,Kekalkan pergerakan teratur dan tunggu arahan pusat pemeriksaan di kawasan kawalan.,3
You need to reverse into a tight space in a site yard. Vehicles and equipment move nearby.,Stop and reverse only when space and visibility are clear,Reverse slowly and adjust speed as conditions change,Complete the manoeuvre to minimise disruption,Follow nearby vehicles to guide your reversing speed,A,Confirm space and visibility before reversing in busy yards.,0.75,0.25,,Anda perlu mengundur ke ruang sempit di kawasan tapak. Kenderaan dan jentera bergerak berhampiran.,Berhenti dan undur hanya apabila ruang dan pandangan jelas,Undur perlahan dan sesuaikan kelajuan mengikut keadaan,Selesaikan manuver untuk kurangkan gangguan kepada orang lain,Ikut pergerakan kenderaan berhampiran untuk panduan kelajuan mengundur,Pastikan ruang dan pandangan jelas sebelum mengundur di kawasan tapak sibuk.,3
You approach a narrow access point inside a facility. Visibility is limited and vehicles may enter from the opposite direction.,Slow early and wait until the access path is clear,Continue forward cautiously and adjust if a vehicle appears,Enter the access point to hold position,Follow the vehicle ahead through the access,A,Slow early and confirm the path is clear before entering.,1,,,Anda menghampiri laluan masuk sempit di dalam fasiliti. Pandangan terhad dan kenderaan mungkin masuk dari arah bertentangan.,Perlahankan kenderaan lebih awal dan tunggu sehingga laluan benar-benar jelas,Terus bergerak dengan berhati-hati dan sesuaikan jika kenderaan muncul,Masuk ke laluan untuk menunggu,Ikut kenderaan di hadapan melalui laluan,Perlahankan kenderaan lebih awal dan pastikan laluan jelas sebelum masuk.,3
"While driving, your phone receives a message and you are slightly above the speed limit.",Slow to the legal speed and ignore the message,Maintain speed and quickly check the message,Reduce speed slightly and read when traffic allows,Keep speed steady and reply briefly,A,Follow speed limits and avoid device use while driving.,0.5,0.5,,"Semasa memandu, telefon anda menerima mesej dan anda memandu sedikit melebihi had laju.",Kurangkan kelajuan ke had yang dibenarkan dan abaikan mesej tersebut,Kekalkan kelajuan dan periksa mesej dengan cepat,Kurangkan sedikit kelajuan dan baca apabila keadaan sesuai,Kekalkan kelajuan dan balas mesej secara ringkas,Patuhi had laju dan elakkan penggunaan telefon semasa memandu.,3
"At a controlled checkpoint, valid credentials are required and one credential has expired.",Stop at the checkpoint and report the issue,Proceed slowly and resolve it afterward,Wait to see if access is granted without it,Continue forward since monitoring appears light,A,Stop and meet credential requirements before proceeding.,0.25,0.75,,"Di pusat pemeriksaan kawalan, kelayakan yang sah diperlukan dan satu kelayakan telah tamat tempoh.",Berhenti di pusat pemeriksaan dan laporkan masalah tersebut,Terus bergerak perlahan dan selesaikan kemudian,Tunggu untuk melihat sama ada akses dibenarkan tanpa kelayakan,Terus bergerak kerana pemantauan kelihatan kurang ketat,Berhenti dan pastikan kelayakan dipenuhi sebelum meneruskan perjalanan.,3
"At a site with active loading operations, you step out of your vehicle in the loading area without a safety helmet.",Put on the required PPE and keep clear of loading,Remain where you are and rely on operators,Move quickly through the area to reduce time,Wait for instructions before addressing PPE,A,Wear required PPE and keep clear of loading zones.,0.25,0.75,,"Di tapak dengan operasi pemuatan aktif, anda keluar dari kenderaan di kawasan pemuatan tanpa topi keselamatan.",Pakai PPE yang diperlukan dan kekal jauh dari operasi pemuatan,Kekal di tempat dan bergantung pada pengendali,Bergerak cepat melalui kawasan itu untuk kurangkan masa,Tunggu arahan dan kemudian pakai PPE,Pakai PPE yang diperlukan dan kekalkan jarak dari kawasan pemuatan.,3
"While manoeuvring at low speed with a load, you feel the load shift and notice the vehicle is closer than expected to an obstacle.",Stop and assess if it is safe to proceed,Proceed slowly and adjust steering to maintain clearance,Complete the manoeuvre and check the load afterward,Continue moving and secure the load once clear,A,Stop and reassess when load shift or clearance risk appears.,0.75,0.25,,"Semasa membuat manuver pada kelajuan rendah dengan muatan, anda merasakan muatan bergerak dan menyedari kenderaan lebih dekat daripada jangkaan kepada halangan.",Berhenti dan pastikan selamat sebelum meneruskan,Terus bergerak perlahan dan laraskan stereng untuk kekalkan jarak,Selesaikan manuver dan periksa muatan selepas itu,Terus bergerak dan periksa di tempat perhentian  ,Berhenti dan nilai semula apabila muatan bergerak atau jarak menjadi sempit.,3
"While parked at a public roadside stop, your engine is running near pedestrians and nearby premises.",Keep the engine running to maintain cabin comfort,Shut down the engine while parked,Keep the engine running and remain inside the vehicle,Leave the engine running briefly before moving off,B,Shutting down the engine when parked protects company assets and shows respect for the public.,,0.25,0.75,"Semasa parkir di tepi jalan awam, enjin kenderaan masih hidup berhampiran pejalan kaki dan premis berdekatan.",Biarkan enjin hidup untuk keselesaan kabin,Matikan enjin semasa parkir,Biarkan enjin hidup dan kekal di dalam kenderaan,Biarkan enjin hidup seketika sebelum bergerak,Mematikan enjin semasa parkir melindungi aset syarikat dan menunjukkan hormat kepada orang awam.,3
"Inside a site, you approach a junction where parked equipment limits turning space.",Continue forward and adjust steering during the turn,"Stop early and reposition for a wider, safer turn",Follow the shortest path to clear the junction,Move closer before deciding how to turn,B,"Early positioning inside sites prevents tight turns, damage, and unnecessary corrections.",1,,,"Di dalam tapak, anda menghampiri simpang dan jentera parkir mengehadkan ruang membelok.",Teruskan ke hadapan dan laras stereng semasa membelok,Berhenti awal dan ubah posisi untuk belokan yang lebih luas dan selamat,Ikut laluan paling pendek untuk lepasi simpang,Bergerak lebih dekat sebelum tentukan cara membelok,"Posisi awal yang betul di dalam tapak membantu elakkan belokan sempit, kerosakan dan pembetulan yang tidak perlu.",3
"While making a delivery, members of the public are nearby and watching your interaction with the customer.",Focus only on the customer and ignore the surroundings,"Maintain calm, respectful behaviour mindful of the public presence",Keep the exchange short to avoid attention,Let the customer lead the interaction tone,B,"Professional behaviour matters not only to the customer, but also to the public observing the interaction.",,,1,"Semasa membuat penghantaran, orang awam berada berdekatan dan memerhati interaksi anda dengan pelanggan.",Fokus pada pelanggan sahaja dan abaikan keadaan sekeliling,Kekalkan tingkah laku tenang dan hormat dengan mengambil kira kehadiran orang awam,Pendekkan perbualan untuk elak perhatian,Biarkan pelanggan tentukan nada interaksi,Tingkah laku profesional penting bukan sahaja kepada pelanggan tetapi juga kepada orang awam yang memerhati.,3
"During a site discussion, you realise the conversation may be overheard or recorded.",Speak carefully and keep the discussion professional,Lower your voice and limit further discussion,End the conversation and return to work,Continue speaking as you normally would,A,Choosing words carefully helps protect your professional image in visible situations.,,0.5,0.5,"Semasa perbincangan di tapak, anda sedar perbualan mungkin didengar atau dirakam.",Bercakap dengan berhati-hati dan kekalkan profesionalisme,Rendahkan suara dan hadkan perbincangan,Tamatkan perbualan dan kembali bekerja,Terus bercakap seperti biasa,Pilih kata dengan cermat untuk lindungi imej profesional di tempat umum.,3
"In a public area, people nearby are watching and filming while you interact with others.",Keep your behaviour calm and professional throughout,Explain your actions clearly so observers understand your position,Limit interaction and focus on finishing the task,Respond firmly to avoid appearing uncertain,A,Professional behaviour matters most when actions are visible to the public.,,0.25,0.75,"Di kawasan awam, orang di sekeliling memerhati dan merakam semasa anda berinteraksi dengan orang lain.",Kekalkan tingkah laku tenang dan profesional sepanjang masa,Terangkan tindakan anda supaya orang yang memerhati faham,Hadkan interaksi dan fokus selesaikan tugas,Beri respons dengan tegas supaya tidak kelihatan ragu-ragu,Tingkah laku profesional amat penting apabila tindakan anda dapat dilihat oleh orang awam.,3
"Traffic slows unexpectedly, and a supervisor asks if you can make up time on the road.","Keep to a safe speed and give a clear, realistic update",Say you will try to make up time where possible,Reassure them and focus on pushing ahead,Keep the call short and continue driving,A,Clear updates and safe driving help manage expectations without increasing risk.,0.25,0.5,0.25,Trafik tiba-tiba menjadi perlahan dan penyelia bertanya sama ada anda boleh mengejar semula masa di jalan raya.,Kekalkan kelajuan selamat dan beri maklumat yang jelas serta realistik,Beritahu bahawa anda akan cuba mengejar masa jika boleh,Yakinkan penyelia dan fokus untuk bergerak lebih laju,Pendekkan panggilan dan teruskan perjalanan,Maklumat yang jelas dan pemanduan selamat membantu urus jangkaan tanpa menambah risiko.,3
You increase following distance in slow traffic. The driver behind closes in and flashes headlights repeatedly.,Keep your distance and continue without responding,Ease closer to avoid further confrontation behind you,Acknowledge the other driver briefly so they know you noticed,Adjust your driving to discourage the behaviour,A,Maintaining safe distance and not reacting helps prevent tension from escalating in traffic.,0.25,0.25,0.5,Anda menambah jarak kenderaan dalam trafik perlahan. Pemandu di belakang merapat dan berulang kali memberi lampu tinggi.,Kekalkan jarak dan teruskan tanpa memberi respons,Rapatkan sedikit jarak untuk mengelakkan ketegangan di belakang,Beri isyarat ringkas supaya pemandu lain tahu anda sedar,Sesuaikan cara pemanduan untuk menghalang tingkah laku tersebut,Mengekalkan jarak selamat dan tidak bertindak balas membantu mengelakkan ketegangan di jalan raya.,3
You enter a narrow roadworks zone with barriers while members of the public are standing nearby.,Reduce speed early and proceed cautiously,Maintain speed to clear the zone quickly,Follow the vehicle ahead closely to avoid delay,Focus on steering accuracy and ignore people nearby,A,Reducing speed early in high-risk areas helps protect the public and reduces potential harm.,0.5,,0.5,"Anda memasuki kawasan pembaikan jalan yang sempit dengan penghadang, sementara orang awam berada berhampiran.",Kurangkan kelajuan lebih awal dan lalui kawasan dengan berhati-hati,Kekalkan kelajuan untuk melepasi kawasan dengan cepat,Ikut rapat kenderaan di hadapan supaya tidak lewat,Fokus pada kawalan stereng dan abaikan orang di sekitar,Mengurangkan kelajuan lebih awal di kawasan berisiko membantu melindungi orang awam dan mengurangkan potensi bahaya.,3
"Before starting your shift, you notice dark tint film and stickers on part of the windscreen.",Leave them since they were already installed.,Remove or report them because they may obstruct visibility.,Start driving and adjust your seating position instead.,Ignore them as long as the road ahead is visible.,B,Address unauthorised modifications to protect visibility and vehicle safety.,,0.5,0.5,"Sebelum memulakan syif, anda mendapati terdapat filem gelap dan pelekat pada sebahagian cermin hadapan.",Biarkan kerana ia telah dipasang sebelum ini.,Tanggalkan atau laporkan kerana ia boleh menghalang penglihatan.,Mulakan pemanduan dan laraskan kedudukan tempat duduk.,Abaikan selagi jalan di hadapan masih kelihatan.,Tangani pengubahsuaian tanpa kelulusan untuk menjaga penglihatan dan keselamatan kenderaan.,3
Your goods vehicle is experiencing failure on a highway and there is no nearby exit.,Stop in the current lane and switch on hazard lights.,Move the vehicle to the far left shoulder before stopping.,Stop immediately and place warning devices behind the vehicle.,Slow down and remain in the lane until assistance arrives.,B,Move to a safer shoulder area to reduce exposure to traffic.,0.5,0,0.5,Kenderaan barangan anda mengalami kerosakan di lebuh raya dan tiada susur keluar berhampiran.,Berhenti di lorong semasa dan hidupkan lampu kecemasan.,Gerakkan kenderaan ke bahu kiri paling luar sebelum berhenti.,Berhenti serta-merta dan letakkan alat amaran di belakang kenderaan.,Perlahankan kenderaan dan kekal di lorong sehingga bantuan tiba.,Gerakkan kenderaan ke bahu jalan yang lebih selamat untuk mengurangkan risiko terdedah kepada trafik.,3
You are loading cargo and the total weight is close to the vehicle's permitted limit.,Load slightly above the limit if the distance is short.,Ensure the load remains within the permitted weight limit.,Proceed since the excess weight is minimal.,Accept the customer's weight figure without verification.,B,Always operate within the approved weight limit.,0.5,0,0.5,Anda sedang memuatkan kargo dan jumlah beratnya hampir mencapai had yang dibenarkan untuk kenderaan.,Muatkan sedikit melebihi had jika jarak adalah dekat.,Pastikan muatan kekal dalam had berat yang dibenarkan.,Teruskan perjalanan kerana lebihan berat adalah kecil.,Terima angka berat pelanggan tanpa pengesahan.,Sentiasa pastikan kenderaan beroperasi dalam had berat yang diluluskan.,3
You notice there is no compliant safety vest in the vehicle.,Proceed if you remain inside the vehicle.,Ensure a compliant safety vest is available before departure.,Wear any bright-coloured clothing instead.,Borrow one only when entering a site.,B,Carry the required safety vest before operating.,0,1,0,Anda mendapati tiada vest keselamatan yang mematuhi spesifikasi di dalam kenderaan.,Teruskan perjalanan jika anda kekal berada di dalam kenderaan.,Pastikan vest keselamatan yang mematuhi spesifikasi tersedia sebelum memulakan perjalanan.,Pakai sebarang pakaian berwarna terang sebagai ganti.,Pinjam vest hanya apabila memasuki tapak.,Pastikan vest keselamatan yang diperlukan dibawa sebelum beroperasi.,3
You arrive at a site and the nearest space is marked as a prohibited parking area.,Park there briefly if unloading is quick.,Find a permitted parking space.,Park there if other vehicles are doing the same.,Stop there with hazard lights switched on.,B,Do not park in prohibited areas.,0.5,0,0.5,Anda tiba di tapak dan ruang terdekat ditanda sebagai kawasan larangan parkir.,Parkir seketika jika proses menurunkan muatan adalah cepat.,Cari ruang parkir yang dibenarkan.,Parkir di situ jika kenderaan lain melakukan perkara yang sama.,Berhenti di situ dengan lampu kecemasan dihidupkan.,Parkir hanya di kawasan yang dibenarkan.,3
"Before starting duty, you are choosing your footwear.",Wear covered shoes for duty.,Wear slippers for short-distance trips.,Wear sandals if driving locally.,Change into shoes only when entering a site.,A,Wear proper shoes while on duty.,0.5,0,0.5,"Sebelum memulakan tugas, anda memilih kasut untuk dipakai.",Pakai kasut bertutup semasa bertugas.,Pakai selipar untuk perjalanan jarak dekat.,Pakai sandal jika memandu di kawasan setempat.,Tukar kepada kasut hanya apabila memasuki tapak.,Pakai kasut yang sesuai semasa bertugas.,3
You have completed a delivery at a customer site.,Obtain the receiver's signature only.,"Obtain signature, company stamp, time received, and receiver's name.",Take a photo of the unloaded goods as proof.,Record the delivery details after returning to the office.,B,Ensure full and proper customer confirmation for every delivery.,0,1,0,Anda telah menyelesaikan penghantaran di tapak pelanggan.,Dapatkan tandatangan penerima sahaja.,"Dapatkan tandatangan, cap syarikat, masa terima dan nama penerima.",Ambil gambar barang yang telah diturunkan sebagai bukti.,Rekodkan butiran penghantaran selepas kembali ke pejabat.,Pastikan pengesahan penerimaan lengkap bagi setiap penghantaran.,3
"Before exiting the port with an import container, you observe a small hole and cut mark.",Record the condition in the gate pass.,Deliver first and report later.,Ignore it if cargo is not exposed.,Inform the customer upon arrival.,A,Declare any container damage in the gate pass before departure.,0.5,0,0.5,"Sebelum keluar dari pelabuhan dengan kontena import, anda mendapati terdapat lubang kecil dan kesan potongan pada kontena.",Rekodkan keadaan tersebut pada gate pass.,Hantar dahulu dan laporkan kemudian.,Abaikan jika muatan tidak terdedah.,Maklumkan kepada pelanggan apabila tiba.,Isytiharkan sebarang kerosakan kontena pada gate pass sebelum berlepas.,3
"Before exiting the port, you notice the container number differs in one document.",Exit and clarify after leaving the port.,"Stop, report to operations, and wait for instruction.",Amend the document yourself.,Proceed if the seal number matches.,B,Do not exit the port when container numbers mismatch.,0.5,0,0.5,"Sebelum keluar dari pelabuhan, anda mendapati nombor kontena berbeza pada satu dokumen.",Keluar dahulu dan jelaskan selepas meninggalkan pelabuhan.,"Berhenti, laporkan kepada bahagian operasi dan tunggu arahan lanjut.",Pinda dokumen sendiri.,Teruskan jika nombor seal sepadan.,Jangan keluar dari pelabuhan apabila nombor kontena tidak sepadan.,3
